Weber-Stephen CZ & SK spol. s r.o.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ceník Premium Plus 2020;;;;;;;;;;;;;
platný od 01. 10. 2019 do 30. 09. 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;NOVÝ;Číslo artiklu;EAN kód;Popis artiklu;Min. objednací množství;Počet kusů na paletě;NC CZK;DPC CZK;NC EUR;DPC EUR;Kategorie;NC
Dřevěné uhlí;;;;;;;;;;;;;
Příslušenství;Příslušenství - Basis;;6670;0077924012006;Sada grilovacích rukavic Premium, velikost L/XL, černé, žáruvzdorné;6;630; 	902,09 Kč ; 	1 290,00 Kč ; 	35,38 € ; 	49,99 € ;Non; 	696,57 Kč 
;;NOVÝ;17896;0077924122682;Grilovací rukavice z kůže;10;; 	546,47 Kč ; 	799,00 Kč ; 	21,43 € ; 	29,99 € ;Non; 	421,97 Kč 
;;NOVÝ;17897;0077924122705;Ochranná podložka pod gril;28;; 	546,47 Kč ; 	799,00 Kč ; 	21,43 € ; 	29,99 € ;Non; 	421,97 Kč 
Příslušenství;Příslušenství - Basis;;6472;0077924011887;Rukavice Premium, černá, s červeným kotlem;6;600; 	276,03 Kč ; 	399,00 Kč ; 	10,82 € ; 	14,99 € ;Non; 	213,14 Kč 
Příslušenství;Příslušenství - Basis;;6474;0077924011894;Zástěra, černá, lze upravit popruh;6;768; 	379,83 Kč ; 	549,00 Kč ; 	14,90 € ; 	19,99 € ;Non; 	293,29 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Küchenhelfer;;6661;0077924011818;Štětec na potírání - se silikonovými štětinami;6;540; 	202,43 Kč ; 	279,00 Kč ; 	7,94 € ; 	9,99 € ;Non; 	156,31 Kč 
Příslušenství;Příslušenství měření a sledování teploty;;;;;;;;;;;; 	-   Kč 
Příslušenství;iGrill;;7220;0077924052446;iGrill mini;5;700; 	1 327,99 Kč ; 	1 790,00 Kč ; 	52,08 € ; 	69,99 € ;Non; 	1 025,43 Kč 
Příslušenství;iGrill;;7221;0077924052453;iGrill 2;5;360; 	2 435,64 Kč ; 	3 290,00 Kč ; 	95,52 € ; 	129,99 € ;Non; 	1 880,72 Kč 
Příslušenství;iGrill;;7205;0077924052149;iGrill™ 3, vhodný pro všechny modely Genesis II a Spirit II;5;280; 	2 246,55 Kč ; 	2 990,00 Kč ; 	88,10 € ; 	119,99 € ;Non; 	1 734,72 Kč 
;iGrill;;7211;0077924052170;iGrill jehla pro měření teploty masa (lze přidat k iGrill 2 a 3, náhradní sonda pro iGrill mini);5;1600; 	380,72 Kč ; 	549,00 Kč ; 	14,93 € ; 	19,99 € ;Non; 	293,98 Kč 
Příslušenství;iGrill;;7212;0077924052187;iGrill jehla pro měření teploty roštu (lze přidat k iGrill 2 a 3, náhradní sonda pro iGrill mini);5;1600; 	380,72 Kč ; 	549,00 Kč ; 	14,93 € ; 	19,99 € ;Non; 	293,98 Kč 
Příslušenství;Příslušenství - Basis;;6750;0077924048395;Digitální kapesní termosonda;6;1116; 	406,16 Kč ; 	549,00 Kč ; 	15,93 € ; 	19,99 € ;Non; 	313,62 Kč 
;;NOVÝ;3202;0077924129636;Weber Connect Smart Grilling Hub;4;; 	2 422,50 Kč ; 	3 290,00 Kč ; 	95,00 € ; 	129,99 € ;Non; 	1 870,58 Kč 
;;NOVÝ;7240;0077924114724;Držák na iGrill;4;; 	195,59 Kč ; 	279,00 Kč ; 	7,67 € ; 	9,99 € ;Non; 	151,03 Kč 
Příslušenství;Příslušenství Gourmet BBQ systém;;;;;;;;;;;; 	-   Kč 
;Příslušenství - pro dokonalé chvilky GBS;;8834;0077924004353;Litinový rošt Sear Grate, litina, vhodný na Gourmet BBQ System™;1;102; 	1 084,88 Kč ; 	1 590,00 Kč ; 	42,54 € ; 	59,99 € ;Partner; 	837,71 Kč 
;Příslušenství - pro dokonalé chvilky GBS;;8842;0077924034046;Litinový hrnec, litina, vhodný pro Gourmet BBQ System™;1;48; 	2 552,92 Kč ; 	3 290,00 Kč ; 	100,11 € ; 	129,99 € ;Partner; 	1 971,28 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky GBS;;8836;0077924013287;Kámen na pizzu, vhodný pro Gourmet BBQ System™;1;60; 	1 120,57 Kč ; 	1 590,00 Kč ; 	43,94 € ; 	59,99 € ;Partner; 	865,27 Kč 
;Příslušenství - pro dokonalé chvilky GBS;;7421;0077924004124;Pánev, litina, vhodná pro Gourmet BBQ System™;1;102; 	1 093,79 Kč ; 	1 590,00 Kč ; 	42,89 € ; 	59,99 € ;Partner; 	844,59 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky GBS;;8838;0077924019036;Stojan na drůbež, ušlechtilá ocel, vhodný pro Gourmet BBQ System™;1;74; 	1 290,01 Kč ; 	1 790,00 Kč ; 	50,59 € ; 	69,99 € ;Partner; 	996,11 Kč 
;Příslušenství - pro dokonalé chvilky GBS;;8856;0077924052347;Wok, litina, vhodný pro Gourmet BBQ System™. Obsahuje také poklop a pařák;1;27; 	1 967,58 Kč ; 	2 490,00 Kč ; 	77,16 € ; 	99,99 € ;Partner; 	1 519,30 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky GBS;;8849;0077924041297;Vaflovač/sendvičovač, litina, vhodný na Gourmet BBQ System™;1;72; 	2 506,51 Kč ; 	3 290,00 Kč ; 	98,29 € ; 	129,99 € ;Partner; 	1 935,45 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky GBS;;8845;0077924037221;Podložka na odkládání, ideální pro bezpečné odkládání horkých komponentů Gourmet BBQ System™;4;352; 	797,72 Kč ; 	999,00 Kč ; 	31,28 € ; 	39,99 € ;Partner; 	615,97 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky GBS;;8844;0077924037160;Zvedač roštů, Gourmet BBQ System™;4;248; 	486,91 Kč ; 	649,00 Kč ; 	19,09 € ; 	24,99 € ;Partner; 	375,98 Kč 
Příslušenství;Příslušenství čistící program;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství - Reinigung;;17685;0077924051357;Weber® sprej na promazání roštů, 200 ml;12;1008; 	169,04 Kč ; 	199,00 Kč ; 	6,63 € ; 	7,99 € ;Non; 	130,53 Kč 
;;NOVÝ;17874;0077924119859;Čistič na Q & Pulse;12;; 	199,67 Kč ; 	279,00 Kč ; 	7,83 € ; 	9,99 € ;Non; 	154,18 Kč 
;;NOVÝ;17875;0077924119866;Čistič roštů;12;; 	199,67 Kč ; 	279,00 Kč ; 	7,83 € ; 	9,99 € ;Non; 	154,18 Kč 
;;NOVÝ;17889;0077924122675;Ochranný sprej na litinové rošty a nádobí;12;; 	169,07 Kč ; 	199,00 Kč ; 	6,63 € ; 	7,99 € ;Non; 	130,55 Kč 
Příslušenství;Příslušenství - Reinigung;;17682;0077924051326;Čistič na ušlechtilou ocel, 300 ml;12;792; 	199,08 Kč ; 	279,00 Kč ; 	7,81 € ; 	9,99 € ;Non; 	153,72 Kč 
Příslušenství;Příslušenství - Reinigung;;17684;0077924051340;Čistič laku, 300 ml;12;792; 	199,27 Kč ; 	279,00 Kč ; 	7,81 € ; 	9,99 € ;Non; 	153,87 Kč 
Příslušenství;Příslušenství - Reinigung;;17688;0077924051395;Houbička;12;624; 	65,31 Kč ; 	79,00 Kč ; 	2,56 € ; 	2,99 € ;Non; 	50,43 Kč 
Příslušenství;Příslušenství - Reinigung;;17689;0077924051418;Hadřík z mikrovlákna;12;1140; 	61,86 Kč ; 	79,00 Kč ; 	2,43 € ; 	2,99 € ;Non; 	47,77 Kč 
Příslušenství;Příslušenství - Reinigung;;6201;0077924031847;Čistící špachtle, ideální pro čištění grilovací vany všech modelů grilu Q™  ;12;2400; 	163,25 Kč ; 	279,00 Kč ; 	6,40 € ; 	9,99 € ;Non; 	126,06 Kč 
Příslušenství;Příslušenství - Reinigung;;6202;0077924031854;Sada na čištění plynových grilů, ideální pro údržbu všech plynových grilů, obsahuje špachtli a kartáček;6;1230; 	220,76 Kč ; 	299,00 Kč ; 	8,66 € ; 	11,99 € ;Non; 	170,46 Kč 
;;NOVÝ;6206;0077924122835;Obracečka na planchu;4;; 	469,20 Kč ; 	649,00 Kč ; 	18,40 € ; 	24,99 € ;Non; 	362,30 Kč 
;;NOVÝ;6207;0077924122842;Škrabka na planchu;6;; 	378,68 Kč ; 	549,00 Kč ; 	14,85 € ; 	19,99 € ;Non; 	292,40 Kč 
;;NOVÝ;6208;0077924122859;Pinzeta na grilování;5;; 	471,75 Kč ; 	649,00 Kč ; 	18,50 € ; 	24,99 € ;Non; 	364,27 Kč 
;;NOVÝ;6209;0077924122866;Drátěnka s dávkovačem na planchu;12;; 	168,05 Kč ; 	279,00 Kč ; 	6,59 € ; 	9,99 € ;Non; 	129,76 Kč 
;;NOVÝ;6210;0077924122873;Náhradní drátěnka na planchu;6;; 	83,90 Kč ; 	129,00 Kč ; 	3,29 € ; 	4,99 € ;Non; 	64,78 Kč 
Příslušenství;Příslušenství pro grily na dřevěné uhlí;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;17631;0077924041068;Zapalovací komín sada;4;48; 	621,63 Kč ; 	799,00 Kč ; 	24,38 € ; 	29,99 € ;Non; 	480,00 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;17631;0077924041068;Zapalovací komín sada displej;24;48; 	621,63 Kč ; 	799,00 Kč ; 	24,38 € ; 	29,99 € ;Non; 	480,00 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7447;0077924019494;Rapidfire™ zapalovací komín, malý, ideální pro modely Smokey Joe™ a Go-Anywhere™;4;144; 	367,97 Kč ; 	549,00 Kč ; 	14,43 € ; 	19,99 € ;Non; 	284,13 Kč 
;Příslušenství - Basis gril na dřevěné uhlí;;17824;0077924079023;Premium dřevěné uhlí -  3kg;90;90; 	148,41 Kč ; 	179,00 Kč ; 	5,82 € ; 	6,99 € ;Non; 	114,60 Kč 
;Příslušenství - Basis gril na dřevěné uhlí;;17825;0077924079030;Premium dřevěné uhlí -  5 kg;54;54; 	212,42 Kč ; 	279,00 Kč ; 	8,33 € ; 	9,99 € ;Non; 	164,02 Kč 
;Příslušenství - Basis gril na dřevěné uhlí;;17826;0077924079047;Premium dřevěné uhlí -  10 kg;24;24; 	403,67 Kč ; 	499,00 Kč ; 	15,83 € ; 	18,99 € ;Non; 	311,70 Kč 
