Weber-Stephen CZ & SK spol. s r.o.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ceník Premium Plus 2020;;;;;;;;;;;;;
platný od 01. 10. 2019 do 30. 09. 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;NOVÝ;Číslo artiklu;EAN kód;Popis artiklu;Min. objednací množství;Počet kusů na paletě;NC CZK;DPC CZK;NC EUR;DPC EUR;Kategorie;NC
Dřevěné uhlí;;;;;;;;;;;;;
Příslušenství;Příslušenství - pro dokonalé chvilky;;6471;0077924010842;Držák na rybu a zeleninu, velký, ušlechtilá ocel, vhodný na plynové grily od Q™ 3000 série a vyšší verze a na grily na dřevěné uhlí o velikosti 57 cm a vyšší verze ;4;120; 	758,96 Kč ; 	999,00 Kč ; 	29,76 € ; 	39,99 € ;Non; 	586,05 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6606;0077924021916;Kebab set, ušlechtilá ocel, obsahuje 5 jehlic;4;392; 	649,71 Kč ; 	899,00 Kč ; 	25,48 € ; 	34,99 € ;Non; 	501,69 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6727;0077924021572;Stojan na kotlety a žebírka Deluxe, ušlechtilá ocel;2;200; 	915,82 Kč ; 	1 290,00 Kč ; 	35,91 € ; 	49,99 € ;Partner; 	707,17 Kč 
;Příslušenství - pro dokonalé chvilky Küchenhelfer;;8402;0077924075186;Dvojité špízy, 8 ks;12;1152; 	302,78 Kč ; 	449,00 Kč ; 	11,87 € ; 	17,99 € ;Non; 	233,80 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6691;0077924031830;Lopatka na pizzu, z ušlechtilé oceli, otočná rukojeť pro snadné skladování;4;192; 	699,03 Kč ; 	899,00 Kč ; 	27,41 € ; 	34,99 € ;Non; 	539,77 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6690;0077924031823;Kráječ na pizzu, Průměr 10 cm, ušlechtilá ocel;6;510; 	439,62 Kč ; 	649,00 Kč ; 	17,24 € ; 	24,99 € ;Non; 	339,46 Kč 
;Příslušenství - pro dokonalé chvilky Küchenhelfer;;6608;0077924021947;Bambusové špízy, 25 ks;12;1680; 	90,19 Kč ; 	129,00 Kč ; 	3,54 € ; 	4,99 € ;Non; 	69,64 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6482;0077924011962;Stojan na drůbež;6;540; 	364,14 Kč ; 	549,00 Kč ; 	14,28 € ; 	19,99 € ;Non; 	281,18 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6469;0077924010835;Stojan a kotlety a žebírka, vhodný na grily na dřevěné uhlí o velikosti 57 cm, Q™ 3000 série a vyšší verze;4;144; 	535,41 Kč ; 	799,00 Kč ; 	21,00 € ; 	29,99 € ;Non; 	413,43 Kč 
Příslušenství;Příslušenství na uzení;;;;;;;;;;;; 	-   Kč 
;;;7576;0077924011207;Univerzální udící box - pro všechny grily;4;400; 	587,39 Kč ; 	799,00 Kč ; 	23,03 € ; 	29,99 € ;Non; 	453,56 Kč 
;;NOVÝ;17179;5707431032420;Univerzální udící box, vhodný pro grily od Q™ 200/2000 série výše;6;432; 	587,39 Kč ; 	799,00 Kč ; 	23,03 € ; 	29,99 € ;Non; 	453,56 Kč 
;Příslušenství - pro dokonalé chvilky Räuchern;;17831;0077924083662;Udící prkénka z cedrového dřeva;6;858; 	481,95 Kč ; 	649,00 Kč ; 	18,90 € ; 	24,99 € ;Non; 	372,15 Kč 
;;NOVÝ;17832;0077924083679;Udící prkénka z cedrového dřeva pro jednu porci;6;; 	196,35 Kč ; 	279,00 Kč ; 	7,70 € ; 	9,99 € ;Non; 	151,62 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17619;0077924039461;Udící špalíky Hickory (bílý ořech);6;216; 	179,27 Kč ; 	279,00 Kč ; 	7,03 € ; 	9,99 € ;Non; 	138,43 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17621;0077924039492;Udící lupínky jablko;6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17624;0077924039522;Udící lupínky Hickory (bílý ořech);6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17627;0077924039577;Udící lupínky Whiskey;6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
;Příslušenství - pro dokonalé chvilky Räuchern;;17833;0077924083686;Udící lupínky drůbež;6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17663;0077924048807;Udící lupínky hovězí maso;6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17664;0077924048838;Udící lupínky vepřové maso;6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Räuchern;;17665;0077924048845;Udící lupínky mořské plody;6;432; 	127,50 Kč ; 	179,00 Kč ; 	5,00 € ; 	6,99 € ;Non; 	98,45 Kč 
Ostatní příslušenství;;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství - Basis plynový grils;;8490;0077924040450;3 V 1 - Sada hadice, regulátoru a šroubení pro přestavbu na PB lahev;4;192; 	975,31 Kč ; 	1 290,00 Kč ; 	38,25 € ; 	49,99 € ;Partner; 	753,10 Kč 
Akční nabídka;;;;;;;;;;;;; 	-   Kč 
;;;53060047;0077924026607;Q 2000, Titan;1;8; 	5 890,50 Kč ;; 	231,00 € ;;Special Assortment; 	4 548,46 Kč 
;;;60010147;0077924077159;Genesis® II E-210 GBS;1;2; 	14 307,49 Kč ;; 	561,08 € ;;Partner; 	11 047,79 Kč 
